"c","d","dp","h","l","o","pc","t","Symbol","change","Security","GICS Sector","GICS Sub-Industry","Headquarters Location","Date added","CIK","Founded","country","currency","estimateCurrency","exchange","finnhubIndustry","ipo","logo","marketCapitalization","name","phone","shareOutstanding","weburl"
69.44,-0.57,-0.8142,70.25,69.174,70.25,70.01,2025-04-18,"CTSH",-1.15302491103203,"Cognizant","Information Technology","IT Consulting & Other Services","Teaneck, New Jersey","2006-11-17","1058290","1994","US","USD","USD","NASDAQ NMS - GLOBAL MARKET","Technology","1998-06-24","https://static2.finnhub.io/file/publicdatany/finnhubimage/stock_logo/CTSH.png",34346.102155,"Cognizant Technology Solutions Corp","12018010233",494.62,"https://www.cognizant.com/"
95.5,2.01,2.15,96.03,93.28,93.39,93.49,2025-04-18,"CL",2.25934254202805,"Colgate-Palmolive","Consumer Staples","Household Products","New York City, New York","1957-03-04","21665","1806","US","USD","USD","NEW YORK STOCK EXCHANGE, INC.","Consumer products","1930-03-31","https://static2.finnhub.io/file/publicdatany/finnhubimage/stock_logo/CL.png",77458.555481,"Colgate-Palmolive Co","12123102000",811.08,"https://www.colgatepalmolive.com/"
34.01,0.46,1.3711,34.295,33.72,33.78,33.55,2025-04-18,"CMCSA",0.680876258140903,"Comcast","Communication Services","Cable & Satellite","Philadelphia, Pennsylvania","2002-11-19","1166691","1963","US","USD","USD","NASDAQ NMS - GLOBAL MARKET","Media","1972-06-29","https://static2.finnhub.io/file/publicdatany/finnhubimage/stock_logo/CMCSA.png",128592.577182,"Comcast Corp","12152861700",3781.02,"https://corporate.comcast.com/"
25.33,0.43,1.7269,25.4,24.865,24.88,24.9,2025-04-18,"CAG",1.80868167202572,"Conagra Brands","Consumer Staples","Packaged Foods & Meats","Chicago, Illinois","1983-08-31","23217","1919","US","USD","USD","NEW YORK STOCK EXCHANGE, INC.","Food Products","1973-01-09","https://static2.finnhub.io/file/publicdatany/finnhubimage/stock_logo/CAG.png",12091.591006,"Conagra Brands Inc","13125495000",477.36,"https://www.conagrabrands.com/"
88.98,2.62,3.0338,90.48,87.69,87.81,86.36,2025-04-18,"COP",1.33242227536727,"ConocoPhillips","Energy","Oil & Gas Exploration & Production","Houston, Texas","1957-03-04","1163165","2002","US","USD","USD","NEW YORK STOCK EXCHANGE, INC.","Energy","1980-03-17","https://static2.finnhub.io/file/publicdatany/finnhubimage/stock_logo/COP.png",112510.725314059,"ConocoPhillips","12812931000",1264.17,"https://www.conocophillips.com/"
112.1,0.66,0.5922,113.41,111.4,111.47,111.44,2025-04-18,"ED",0.565174486408895,"Consolidated Edison","Utilities","Multi-Utilities","New York City, New York","1957-03-04","1047862","1823","US","USD","USD","NEW YORK STOCK EXCHANGE, INC.","Utilities","1948-06-21","https://static2.finnhub.io/file/publicdatany/finnhubimage/stock_logo/ED.png",40378.499502,"Consolidated Edison Inc","18005225635",360.2,"https://www.conedison.com/"
186.63,3.6,1.9669,187.169,183.04,184.04,183.03,2025-04-18,"STZ",1.40730276026951,"Constellation Brands","Consumer Staples","Distillers & Vintners","Rochester, New York","2005-07-01","16918","1945","US","USD","USD","NEW YORK STOCK EXCHANGE, INC.","Beverages","1986-07-07","https://static2.finnhub.io/file/publicdatany/finnhubimage/stock_logo/STZ.png",33729.182835,"Constellation Brands Inc","15856787100",180.73,"https://www.cbrands.com/"
206.68,2.49,1.2195,208.82,203.6038,208.35,204.19,2025-04-18,"CEG",-0.801535877129824,"Constellation Energy","Utilities","Electric Utilities","Baltimore, Maryland","2022-02-02","1868275","1999","US","USD","USD","NASDAQ NMS - GLOBAL MARKET","Utilities","2022-01-19","https://static2.finnhub.io/file/publicdatany/finnhubimage/stock_logo/950815008846.png",64754.844927,"Constellation Energy Corp","18338830162",313.31,"https://www.constellationenergy.com/"
79.51,1.28,1.6362,79.77,77.98,78.45,78.23,2025-04-18,"COO",1.35117909496495,"Cooper Companies (The)","Health Care","Health Care Supplies","San Ramon, California","2016-09-23","711404","1958","US","USD","USD","NASDAQ NMS - GLOBAL MARKET","Health Care","1983-01-21","https://static2.finnhub.io/file/publicdatany/finnhubimage/stock_logo/COO.png",15900.504519,"Cooper Companies Inc","19254603600",199.98,"https://www.coopercos.com/"
59.68,0.24,0.4038,60.31,59.44,59.64,59.44,2025-04-18,"CPRT",0.0670690811535868,"Copart","Industrials","Diversified Support Services","Dallas, Texas","2018-07-02","900075","1982","US","USD","USD","NASDAQ NMS - GLOBAL MARKET","Commercial Services & Supplies","1994-03-17","https://static2.finnhub.io/file/publicdatany/finnhubimage/stock_logo/CPRT.png",57656.427941,"Copart Inc","19723915000",966.09,"https://www.copart.com/"
41.52,0.24,0.5814,42.04,41.3,41.64,41.28,2025-04-18,"GLW",-0.28818443804034,"Corning Inc.","Information Technology","Electronic Components","Corning, New York","1995-02-27","24741","1851","US","USD","USD","NEW YORK STOCK EXCHANGE, INC.","Electrical Equipment","1945-05-21","https://static2.finnhub.io/file/publicdatany/finnhubimage/stock_logo/GLW.png",35560.5288451951,"Corning Inc","16079749000",856.78,"https://www.corning.com/"
308.73,1.96,0.6389,311.3,305.04,308.05,306.77,2025-04-18,"CPAY",0.220743385813993,"Corpay","Financials","Transaction & Payment Processing Services","Atlanta, Georgia","2018-06-20","1175454","2000","US","USD","USD","NEW YORK STOCK EXCHANGE, INC.","Financial Services","2010-12-15","https://static2.finnhub.io/file/publicdatany/finnhubimage/stock_logo/FLT.png",21688.259718,"Corpay Inc","18008779019",70.25,"https://www.corpay.com/"
59.74,0.54,0.9122,60.12,59.23,59.59,59.2,2025-04-18,"CTVA",0.251720087262961,"Corteva","Materials","Fertilizers & Agricultural Chemicals","Indianapolis, Indiana","2019-06-03","1755672","2019","US","USD","USD","NEW YORK STOCK EXCHANGE, INC.","Chemicals","2019-05-24","https://static2.finnhub.io/file/publicdatany/finnhubimage/stock_logo/CTVA.png",40803.292598,"Corteva Inc","18332678382",683.01,"https://www.corteva.com"
79.7,0.68,0.8605,80.26,79.01,79.75,79.02,2025-04-18,"CSGP",-0.0626959247648867,"CoStar Group","Real Estate","Real Estate Services","Washington, D.C.","2022-09-19","1057352","1987","US","USD","USD","NASDAQ NMS - GLOBAL MARKET","Real Estate","1998-07-01","https://static2.finnhub.io/file/publicdatany/finnhubimage/stock_logo/CSGP.png",33614.490394,"CoStar Group Inc","12023466500",421.76,"https://www.costargroup.com/"
994.5,26.75,2.7641,999.9183,971.99,973.275,967.75,2025-04-18,"COST",2.18078138244587,"Costco","Consumer Staples","Consumer Staples Merchandise Retail","Issaquah, Washington","1993-10-01","909832","1976","US","USD","USD","NASDAQ NMS - GLOBAL MARKET","Retail","1985-12-05","https://static2.finnhub.io/file/publicdatany/finnhubimage/stock_logo/COST.png",441243.091187,"Costco Wholesale Corp","14253138100",443.68,"https://www.costco.com/"
25.85,0.22,0.8584,26.28,25.55,26.02,25.63,2025-04-18,"CTRA",-0.653343581860101,"Coterra","Energy","Oil & Gas Exploration & Production","Houston, Texas","2008-06-23","858470","2021 (1989)","US","USD","USD","NEW YORK STOCK EXCHANGE, INC.","Energy","1990-02-08","https://static2.finnhub.io/file/publicdatany/finnhubimage/stock_logo/CTRA.png",19755.7057427083,"Coterra Energy Inc","12815894600",764.1,"https://coterra.com/"
375.62,-4.22,-1.111,384.94,373.101,383.8,379.84,2025-04-18,"CRWD",-2.1313183949974,"CrowdStrike","Information Technology","Systems Software","Austin, Texas","2024-06-24","1535527","2011","US","USD","USD","NASDAQ NMS - GLOBAL MARKET","Technology","2019-06-12","https://static2.finnhub.io/file/publicdatany/finnhubimage/stock_logo/CRWD.png",93106.215945,"CrowdStrike Holdings Inc","18885128906",247.87,"https://ir.crowdstrike.com/"
103.59,2.34,2.3111,104.32,101.4,101.4,101.25,2025-04-18,"CCI",2.15976331360946,"Crown Castle","Real Estate","Telecom Tower REITs","Houston, Texas","2012-03-14","1051470","1994","US","USD","USD","NEW YORK STOCK EXCHANGE, INC.","Real Estate","1998-08-18","https://static2.finnhub.io/file/publicdatany/finnhubimage/stock_logo/950434155366.png",45106.58335,"Crown Castle Inc","17135703000",435.43,"https://www.crowncastle.com/"
27.68,0.33,1.2066,28.02,27.27,27.29,27.35,2025-04-18,"CSX",1.42909490655918,"CSX Corporation","Industrials","Rail Transportation","Jacksonville, Florida","1957-03-04","277948","1980","US","USD","USD","NASDAQ NMS - GLOBAL MARKET","Road & Rail","1980-11-03","https://static2.finnhub.io/file/publicdatany/finnhubimage/stock_logo/CSX.png",51998.151042,"CSX Corp","19043593200",1878.55,"https://www.csx.com/"
281.81,1.25,0.4455,285.33,280.8001,282.96,280.56,2025-04-18,"CMI",-0.406417868249921,"Cummins","Industrials","Construction Machinery & Heavy Transportation Equipment","Columbus, Indiana","1965-03-31","26172","1919","US","USD","USD","NEW YORK STOCK EXCHANGE, INC.","Machinery","1964-09-10","https://static2.finnhub.io/file/publicdatany/finnhubimage/stock_logo/CMI.png",38817.237325,"Cummins Inc","18123773842",137.74,"https://www.cummins.com/"
67.29,-1.26,-1.8381,67.825,64,65.42,68.55,2025-04-18,"CVS",2.85845307245491,"CVS Health","Health Care","Health Care Services","Woonsocket, Rhode Island","1957-03-04","64803","1996","US","USD","USD","NEW YORK STOCK EXCHANGE, INC.","Health Care","1952-10-01","https://static2.finnhub.io/file/publicdatany/finnhubimage/stock_logo/CVS.png",84945.814536,"CVS Health Corp","14017651500",1262.38,"https://cvshealth.com/"
186.83,-3.83,-2.0088,189.74,185.83,188.99,190.66,2025-04-18,"DHR",-1.14291761468861,"Danaher Corporation","Health Care","Life Sciences Tools & Services","Washington, D.C.","1998-11-18","313616","1969","US","USD","USD","NEW YORK STOCK EXCHANGE, INC.","Life Sciences Tools & Services","1969-12-10","https://static2.finnhub.io/file/publicdatany/finnhubimage/stock_logo/DHR.png",133667.584107,"Danaher Corp","12028280850",715.45,"https://www.danaher.com/"
200.22,2.35,1.1876,202.955,197.2659,198.7,197.87,2025-04-18,"DRI",0.764972320080529,"Darden Restaurants","Consumer Discretionary","Restaurants","Orlando, Florida","1995-05-31","940944","1938","US","USD","USD","NEW YORK STOCK EXCHANGE, INC.","Hotels, Restaurants & Leisure","1995-05-09","https://static2.finnhub.io/file/publicdatany/finnhubimage/stock_logo/DRI.png",23430.99494,"Darden Restaurants Inc","14072454000",117.03,"https://www.darden.com"
140.03,-1.47,-1.0389,141.585,136.54,140.36,141.5,2025-04-18,"DVA",-0.235109717868347,"DaVita","Health Care","Health Care Services","Denver, Colorado","2008-07-31","927066","1979","US","USD","USD","NEW YORK STOCK EXCHANGE, INC.","Health Care","1995-10-31","https://static2.finnhub.io/file/publicdatany/finnhubimage/stock_logo/DVA.png",11202.399902,"DaVita Inc","13105362668",80,"https://www.davita.com/"
54.15,-0.85,-1.5455,55.215,54.12,55.04,55,2025-04-18,"DAY",-1.61700581395349,"Dayforce","Industrials","Human Resource & Employment Services","Minneapolis, Minnesota","2021-09-20","1725057","1992","US","USD","USD","NEW YORK STOCK EXCHANGE, INC.","Professional Services","2018-04-26","https://static2.finnhub.io/file/publicdatany/finnhubimage/stock_logo/CDAY.png",8569.907015,"Dayforce Inc","19528538100",158.26,"https://www.dayforce.com/"
105.67,2.65,2.5723,105.94,103.02,104.15,103.02,2025-04-18,"DECK",1.45943350936149,"Deckers Brands","Consumer Discretionary","Footwear","Goleta, California","2024-03-18","910521","1973","US","USD","USD","NEW YORK STOCK EXCHANGE, INC.","Textiles, Apparel & Luxury Goods","1993-10-01","https://static2.finnhub.io/file/publicdatany/finnhubimage/stock_logo/DECK.png",16037.919824,"Deckers Outdoor Corp","18059677611",151.77,"https://www.deckers.com/"
452.07,-0.35,-0.0774,458.87,451.525,455.31,452.42,2025-04-18,"DE",-0.711603083613364,"Deere & Company","Industrials","Agricultural & Farm Machinery","Moline, Illinois","1957-03-04","315189","1837","US","USD","USD","NEW YORK STOCK EXCHANGE, INC.","Machinery","1933-06-29","https://static2.finnhub.io/file/publicdatany/finnhubimage/stock_logo/DE.png",122698.102038,"Deere & Co","13097658000",271.41,"https://www.deere.com/"
84.8,1.44,1.7274,85.42,82.9,83.875,83.36,2025-04-18,"DELL",1.10283159463487,"Dell Technologies","Information Technology","Technology Hardware, Storage & Peripherals","Round Rock, Texas","2024-09-23","1571996","2016","US","USD","USD","NEW YORK STOCK EXCHANGE, INC.","Technology","2016-08-01","https://static2.finnhub.io/file/publicdatany/finnhubimage/stock_logo/DELL.png",59215.2850535729,"Dell Technologies Inc","18002893355",697.84,"https://www.dell.com/en-in"
40.85,0.26,0.6406,41.2138,40.21,40.69,40.59,2025-04-18,"DAL",0.393217006635546,"Delta Air Lines","Industrials","Passenger Airlines","Atlanta, Georgia","2013-09-11","27904","1929","US","USD","USD","NEW YORK STOCK EXCHANGE, INC.","Airlines","2007-04-26","https://static2.finnhub.io/file/publicdatany/finnhubimage/stock_logo/DAL.png",26689.5428113954,"Delta Air Lines Inc","14047152600",652.96,"https://www.delta.com/"
30.31,1.01,3.4471,30.81,29.685,29.685,29.3,2025-04-18,"DVN",2.10544045814384,"Devon Energy","Energy","Oil & Gas Exploration & Production","Oklahoma City, Oklahoma","2000-08-30","1090012","1971","US","USD","USD","NEW YORK STOCK EXCHANGE, INC.","Energy","1985-07-22","https://static2.finnhub.io/file/publicdatany/finnhubimage/stock_logo/DVN.png",19671.189653,"Devon Energy Corp","14055528183",649,"https://www.devonenergy.com/"
68.57,-0.16,-0.2328,68.78,66.53,67,68.73,2025-04-18,"DXCM",2.34328358208954,"Dexcom","Health Care","Health Care Equipment","San Diego, California","2020-05-12","1093557","1999","US","USD","USD","NASDAQ NMS - GLOBAL MARKET","Health Care","2005-04-14","https://static2.finnhub.io/file/publicdatany/finnhubimage/stock_logo/DXCM.png",26886.812076,"Dexcom Inc","18582000200",392.11,"https://www.dexcom.com/"
137.64,7.42,5.698,139.2247,132.58,132.58,130.22,2025-04-18,"FANG",3.816563584251,"Diamondback Energy","Energy","Oil & Gas Exploration & Production","Midland, Texas","2018-12-03","1539838","2007","US","USD","USD","NASDAQ NMS - GLOBAL MARKET","Energy","2012-10-17","https://static2.finnhub.io/file/publicdatany/finnhubimage/stock_logo/FANG.png",40477.576615,"Diamondback Energy Inc","14054636900",294.08,"https://ir.diamondbackenergy.com/"
150.75,2.57,1.7344,151.94,149.26,150,148.18,2025-04-18,"DLR",0.5,"Digital Realty","Real Estate","Data Center REITs","Austin, Texas","2016-05-18","1297996","2004","US","USD","USD","NEW YORK STOCK EXCHANGE, INC.","Real Estate","2004-11-03","https://static2.finnhub.io/file/publicdatany/finnhubimage/stock_logo/942959090646.png",50764.869278,"Digital Realty Trust Inc","12142311350",336.64,"https://www.digitalrealty.com"
159.63,3.32,2.124,161.5237,155.54,157.54,156.31,2025-04-18,"DFS",1.32664720071093,"Discover Financial","Financials","Consumer Finance","Riverwoods, Illinois","2007-07-02","1393612","1985","US","USD","USD","NEW YORK STOCK EXCHANGE, INC.","Financial Services","2007-06-14","https://static2.finnhub.io/file/publicdatany/finnhubimage/stock_logo/DFS.png",40163.755412,"Discover Financial Services","12244050900",251.61,"https://www.discover.com/"
93.07,3.71,4.1517,93.27,89.05,89.05,89.36,2025-04-18,"DG",4.51431779898933,"Dollar General","Consumer Staples","Consumer Staples Merchandise Retail","Goodlettsville, Tennessee","2012-12-03","29534","1939","US","USD","USD","NEW YORK STOCK EXCHANGE, INC.","Retail","2009-11-13","https://static2.finnhub.io/file/publicdatany/finnhubimage/stock_logo/DG.png",20470.474903,"Dollar General Corp","16158554000",219.95,"https://www.dollargeneral.com/"
79.14,5.93,8.1,79.24,73.57,73.57,73.21,2025-04-18,"DLTR",7.57102079652033,"Dollar Tree","Consumer Staples","Consumer Staples Merchandise Retail","Chesapeake, Virginia","2011-12-19","935703","1986","US","USD","USD","NASDAQ NMS - GLOBAL MARKET","Retail","1995-03-06","https://static2.finnhub.io/file/publicdatany/finnhubimage/stock_logo/DLTR.png",17021.670315,"Dollar Tree Inc","17573215000",215.08,"https://www.dollartree.com/"
53.17,0.11,0.2073,53.98,52.5,52.63,53.06,2025-04-18,"D",1.02603078092343,"Dominion Energy","Utilities","Multi-Utilities","Richmond, Virginia","2016-11-30","715957","1983","US","USD","USD","NEW YORK STOCK EXCHANGE, INC.","Utilities","1983-05-20","https://static2.finnhub.io/file/publicdatany/finnhubimage/stock_logo/D.png",45312.281153,"Dominion Energy Inc","18048192000",852.22,"https://www.dominionenergy.com/"
466.74,4.49,0.9713,470.7,460.245,463.41,462.25,2025-04-18,"DPZ",0.71858613322975,"Domino's","Consumer Discretionary","Restaurants","Ann Arbor, Michigan","2020-05-12","1286681","1960","US","USD","USD","NASDAQ NMS - GLOBAL MARKET","Hotels, Restaurants & Leisure","2004-07-13","https://static2.finnhub.io/file/publicdatany/finnhubimage/stock_logo/DPZ.png",16009.290897,"Domino's Pizza Inc","17349303030",34.3,"https://www.dominos.com/"
161.08,-0.88,-0.5433,163.8,160.62,162.4,161.96,2025-04-18,"DOV",-0.812807881773395,"Dover Corporation","Industrials","Industrial Machinery & Supplies & Components","Downers Grove, Illinois","1985-10-31","29905","1955","US","USD","USD","NEW YORK STOCK EXCHANGE, INC.","Machinery","1956-12-03","https://static2.finnhub.io/file/publicdatany/finnhubimage/stock_logo/DOV.png",22077.990883,"Dover Corp","16305411540",137.06,"https://www.dovercorporation.com/"
28.15,0.68,2.4754,28.41,27.73,27.73,27.47,2025-04-18,"DOW",1.51460512080778,"Dow Inc.","Materials","Commodity Chemicals","Midland, Michigan","2019-04-01","1751788","2019 (1897)","US","USD","USD","NEW YORK STOCK EXCHANGE, INC.","Chemicals","2019-03-20","https://static2.finnhub.io/file/publicdatany/finnhubimage/stock_logo/DOW.png",19812.867975,"Dow Inc","19896361000",705.76,"https://investors.dow.com/"
121.25,3.71,3.1564,123,117.54,121.42,117.54,2025-04-18,"DHI",-0.14000988305057,"D. R. Horton","Consumer Discretionary","Homebuilding","Arlington, Texas","2005-06-22","882184","1978","US","USD","USD","NEW YORK STOCK EXCHANGE, INC.","Consumer products","1992-06-05","https://static2.finnhub.io/file/publicdatany/finnhubimage/stock_logo/DHI.png",38208.602829,"DR Horton Inc","18173908200",315.12,"https://www.drhorton.com/"
133.55,1.53,1.1589,135.29,132.685,132.71,132.02,2025-04-18,"DTE",0.632959083716377,"DTE Energy","Utilities","Multi-Utilities","Detroit, Michigan","1957-03-04","936340","1995","US","USD","USD","NEW YORK STOCK EXCHANGE, INC.","Utilities","1949-11-16","https://static2.finnhub.io/file/publicdatany/finnhubimage/stock_logo/DTE.png",27713.995608,"DTE Energy Co","13132354000",207.52,"https://ir.dteenergy.com/"
121.8,1.45,1.2048,123.5499,120.5,120.94,120.35,2025-04-18,"DUK",0.711096411443691,"Duke Energy","Utilities","Electric Utilities","Charlotte, North Carolina","1976-06-30","1326160","1904","US","USD","USD","NEW YORK STOCK EXCHANGE, INC.","Utilities","2012-07-03","https://static2.finnhub.io/file/publicdatany/finnhubimage/stock_logo/DUK.png",94641.24147,"Duke Energy Corp","18004883853",776.46,"https://www.duke-energy.com/"
60.14,0.89,1.5021,61.15,59.69,59.69,59.25,2025-04-18,"DD",0.753895124811531,"DuPont","Materials","Specialty Chemicals","Wilmington, Delaware","2019-04-02","1666700","2017 (1802)","US","USD","USD","NEW YORK STOCK EXCHANGE, INC.","Chemicals","2017-09-01","https://static2.finnhub.io/file/publicdatany/finnhubimage/stock_logo/DD.png",25168.499814,"Dupont De Nemours Inc","13022955783",418.5,"https://www.dupont.com/"
76.76,-0.03,-0.0391,78.0954,76.49,77.18,76.79,2025-04-18,"EMN",-0.544182430681526,"Eastman Chemical Company","Materials","Specialty Chemicals","Kingsport, Tennessee","1994-01-01","915389","1920","US","USD","USD","NEW YORK STOCK EXCHANGE, INC.","Chemicals","1993-12-14","https://static2.finnhub.io/file/publicdatany/finnhubimage/stock_logo/EMN.png",8862.702749,"Eastman Chemical Co","14232292000",115.46,"https://www.eastman.com/"
268.32,-0.84,-0.3121,272,265.97,272,269.16,2025-04-18,"ETN",-1.35294117647059,"Eaton Corporation","Industrials","Electrical Components & Equipment","Dublin, Ireland","1957-03-04","1551182","1911","IE","USD","USD","NEW YORK STOCK EXCHANGE, INC.","Electrical Equipment","2012-12-03","https://static2.finnhub.io/file/publicdatany/finnhubimage/stock_logo/ETN.png",105119.562552,"Eaton Corporation PLC","35316372900",391.77,"https://www.eaton.com/"
66.26,0.79,1.2067,66.86,65.61,66.1,65.47,2025-04-18,"EBAY",0.242057488653572,"eBay Inc.","Consumer Discretionary","Broadline Retail","San Jose, California","2002-07-22","1065088","1995","US","USD","USD","NASDAQ NMS - GLOBAL MARKET","Retail","1998-09-23","https://static2.finnhub.io/file/publicdatany/finnhubimage/stock_logo/EBAY.png",30877.160995,"eBay Inc","14083767400",466,"https://www.ebayinc.com/"
238.73,2.77,1.1739,240.85,235.78,238.19,235.96,2025-04-18,"ECL",0.226709769511731,"Ecolab","Materials","Specialty Chemicals","Saint Paul, Minnesota","1989-01-31","31462","1923","US","USD","USD","NEW YORK STOCK EXCHANGE, INC.","Chemicals","1957-01-01","https://static2.finnhub.io/file/publicdatany/finnhubimage/stock_logo/ECL.png",67711.594547,"Ecolab Inc","18002326522",283.63,"https://www.ecolab.com/"
57.39,1.06,1.8818,58.175,56.56,56.68,56.33,2025-04-18,"EIX",1.25264643613268,"Edison International","Utilities","Electric Utilities","Rosemead, California","1957-03-04","827052","1886","US","USD","USD","NEW YORK STOCK EXCHANGE, INC.","Utilities","1926-05-27","https://static2.finnhub.io/file/publicdatany/finnhubimage/stock_logo/EIX.png",22096.500097,"Edison International","16263022222",385.02,"https://www.edison.com/"
71.53,0.33,0.4635,72.15,70.55,71.28,71.2,2025-04-18,"EW",0.350729517396184,"Edwards Lifesciences","Health Care","Health Care Equipment","Irvine, California","2011-04-01","1099800","1958","US","USD","USD","NEW YORK STOCK EXCHANGE, INC.","Health Care","2000-03-27","https://static2.finnhub.io/file/publicdatany/finnhubimage/stock_logo/EW.png",41899.089711,"Edwards Lifesciences Corp","19492502500",587.9,"https://www.edwards.com"
145.61,2.64,1.8465,146.09,142.97,143.27,142.97,2025-04-18,"EA",1.6332798213164,"Electronic Arts","Communication Services","Interactive Home Entertainment","Redwood City, California","2002-07-22","712515","1982","US","USD","USD","NASDAQ NMS - GLOBAL MARKET","Media","1989-01-09","https://static2.finnhub.io/file/publicdatany/finnhubimage/stock_logo/EA.png",37948.526599,"Electronic Arts Inc","16506281500",260.62,"https://www.ea.com/"
424.53,-10.51,-2.4159,437.99,390,390,435.04,2025-04-18,"ELV",8.85384615384615,"Elevance Health","Health Care","Managed Health Care","Indianapolis, Indiana","2002-07-25","1156039","2014 (1946)","US","USD","USD","NEW YORK STOCK EXCHANGE, INC.","Health Care","2001-10-30","https://static2.finnhub.io/file/publicdatany/finnhubimage/stock_logo/ANTM.png",96108.037646,"Elevance Health Inc","18003311476",226.39,"https://www.elevancehealth.com/"
99.57,0.9,0.9121,101.0479,99.2,99.2,98.67,2025-04-18,"EMR",0.372983870967732,"Emerson Electric","Industrials","Electrical Components & Equipment","Ferguson, Missouri","1965-03-31","32604","1890","US","USD","USD","NEW YORK STOCK EXCHANGE, INC.","Electrical Equipment","1944-09-05","https://static2.finnhub.io/file/publicdatany/finnhubimage/stock_logo/EMR.png",56147.525259,"Emerson Electric Co","13145532000",563.9,"https://www.emerson.com/en-us"
52.54,0.79,1.5266,52.68,49.395,50.15,51.75,2025-04-18,"ENPH",4.76570289132602,"Enphase Energy","Information Technology","Semiconductor Materials & Equipment","Fremont, California","2021-01-07","1463101","2006","US","USD","USD","NASDAQ NMS - GLOBAL MARKET","Semiconductors","2011-06-20","https://static2.finnhub.io/file/publicdatany/finnhubimage/stock_logo/ENPH.png",6892.507994,"Enphase Energy Inc","17077634784",131.19,"https://enphase.com/"
83.27,1.03,1.2524,84.38,82.5,82.52,82.24,2025-04-18,"ETR",0.908870576829859,"Entergy","Utilities","Electric Utilities","New Orleans, Louisiana","1957-03-04","65984","1913","US","USD","USD","NEW YORK STOCK EXCHANGE, INC.","Utilities","1949-05-31","https://static2.finnhub.io/file/publicdatany/finnhubimage/stock_logo/ETR.png",36055.87297,"Entergy Corp","15045764000",430.77,"https://www.entergy.com"
110.5,2.26,2.088,112.68,108.81,109.68,108.24,2025-04-18,"EOG",0.747629467541934,"EOG Resources","Energy","Oil & Gas Exploration & Production","Houston, Texas","2000-11-02","821189","1999","US","USD","USD","NEW YORK STOCK EXCHANGE, INC.","Energy","1989-10-04","https://static2.finnhub.io/file/publicdatany/finnhubimage/stock_logo/EOG.png",60945.653168,"EOG Resources Inc","17136517000",551.54,"https://www.eogresources.com/"
147.16,-0.12,-0.0815,148.285,145.58,148.04,147.28,2025-04-18,"EPAM",-0.594433936773842,"EPAM Systems","Information Technology","IT Consulting & Other Services","Newtown, Pennsylvania","2021-12-14","1352010","1993","US","USD","USD","NEW YORK STOCK EXCHANGE, INC.","Technology","2012-02-08","https://static2.finnhub.io/file/publicdatany/finnhubimage/stock_logo/EPAM.png",8333.07555,"Epam Systems Inc","12677599000",56.63,"https://www.epam.com/"
50.98,0.13,0.2557,51.765,50.82,51.23,50.85,2025-04-18,"EQT",-0.487995315244974,"EQT Corporation","Energy","Oil & Gas Exploration & Production","Pittsburgh, Pennsylvania","2022-10-03","33213","1888","US","USD","USD","NEW YORK STOCK EXCHANGE, INC.","Energy","1950-06-05","https://static2.finnhub.io/file/publicdatany/finnhubimage/stock_logo/EQT.png",30457.540836,"EQT Corp","14125535700",597.44,"https://www.eqt.com/"
221.25,1.97,0.8984,223.39,216.915,218.91,219.28,2025-04-18,"EFX",1.06893243798822,"Equifax","Industrials","Research & Consulting Services","Atlanta, Georgia","1997-06-19","33185","1899","US","USD","USD","NEW YORK STOCK EXCHANGE, INC.","Professional Services","1971-05-11","https://static2.finnhub.io/file/publicdatany/finnhubimage/stock_logo/EFX.png",27611.712027,"Equifax Inc","14048858000",124.8,"https://www.equifax.com/"
790.15,11.475,1.4737,801.96,787.82,794.41,778.675,2025-04-18,"EQIX",-0.536247026094837,"Equinix","Real Estate","Data Center REITs","Redwood City, California","2015-03-20","1101239","1998","US","USD","USD","NASDAQ NMS - GLOBAL MARKET","Real Estate","2000-08-11","https://static2.finnhub.io/file/publicdatany/finnhubimage/stock_logo/942959004916.png",77291.106708,"Equinix Inc","16505986000",97.82,"https://www.equinix.com/"
68.24,1.19,1.7748,69.24,67.04,67.11,67.05,2025-04-18,"EQR",1.68380271196542,"Equity Residential","Real Estate","Multi-Family Residential REITs","Chicago, Illinois","2001-12-03","906107","1969","US","USD","USD","NEW YORK STOCK EXCHANGE, INC.","Real Estate","1993-08-12","https://static2.finnhub.io/file/publicdatany/finnhubimage/stock_logo/942959039466.png",25920.328437,"Equity Residential","13129281178",379.84,"https://www.equityapartments.com/"
410.95,-0.93,-0.2258,417.88,408.72,416.89,411.88,2025-04-18,"ERIE",-1.42483628774977,"Erie Indemnity","Financials","Insurance Brokers","Erie, Pennsylvania","2024-09-23","922621","1925","US","USD","USD","NASDAQ NMS - GLOBAL MARKET","Insurance","1995-10-02","https://static2.finnhub.io/file/publicdatany/finnhubimage/stock_logo/ERIE.png",19138.093233,"Erie Indemnity Co","18148702000",52.29,"https://www.erieinsurance.com/"
275.29,3.39,1.2468,279.05,273.01,273.01,271.9,2025-04-18,"ESS",0.835134244166891,"Essex Property Trust","Real Estate","Multi-Family Residential REITs","San Mateo, California","2014-04-02","920522","1971","US","USD","USD","NEW YORK STOCK EXCHANGE, INC.","Real Estate","1994-06-07","https://static2.finnhub.io/file/publicdatany/finnhubimage/stock_logo/942959039476.png",17708.188582,"Essex Property Trust Inc","19187425531",64.33,"https://www.essexapartmenthomes.com/"
